kernel_name,BM,BN,BK,TM,TN,threads_per_block,gflops_median,gflops_stddev,regs_per_thread,smem_bytes,theoretical_occupancy_pct,M,N,K
2d_blocktile,32,32,8,4,4,64,4724.373,222.529,10,32768,12.5,4096,4096,4096
2d_blocktile,32,32,8,4,8,32,4879.401,215.538,10,32768,6.2,4096,4096,4096
2d_blocktile,32,32,8,8,4,32,5601.212,38.255,10,32768,6.2,4096,4096,4096
2d_blocktile,32,32,16,4,4,64,5114.883,207.067,10,32768,12.5,4096,4096,4096
2d_blocktile,32,32,16,4,8,32,2787.373,20.306,10,32768,6.2,4096,4096,4096
2d_blocktile,32,32,16,8,4,32,3014.446,43.098,10,32768,6.2,4096,4096,4096
2d_blocktile,32,32,32,4,4,64,5226.413,191.200,10,32768,12.5,4096,4096,4096
2d_blocktile,32,32,32,4,8,32,4868.324,197.571,10,32768,6.2,4096,4096,4096
2d_blocktile,32,32,32,8,4,32,4805.950,192.359,10,32768,6.2,4096,4096,4096
2d_blocktile,32,64,8,4,4,128,6159.663,237.854,10,32768,25.0,4096,4096,4096
2d_blocktile,32,64,8,4,8,64,4643.891,194.246,10,32768,12.5,4096,4096,4096
2d_blocktile,32,64,8,8,4,64,6280.730,176.104,10,32768,12.5,4096,4096,4096
2d_blocktile,32,64,16,4,4,128,6583.965,198.319,10,32768,25.0,4096,4096,4096
2d_blocktile,32,64,16,4,8,64,3444.740,70.820,10,32768,12.5,4096,4096,4096
2d_blocktile,32,64,16,8,4,64,4237.712,44.831,10,32768,12.5,4096,4096,4096
2d_blocktile,32,64,32,4,4,128,6669.401,169.520,10,32768,25.0,4096,4096,4096
2d_blocktile,32,64,32,4,8,64,4868.319,237.156,10,32768,12.5,4096,4096,4096
2d_blocktile,32,64,32,8,4,64,5897.477,263.288,10,32768,12.5,4096,4096,4096
2d_blocktile,32,128,8,4,4,256,6660.619,195.383,10,32768,50.0,4096,4096,4096
2d_blocktile,32,128,8,4,8,128,5321.906,56.973,10,32768,25.0,4096,4096,4096
2d_blocktile,32,128,8,8,4,128,6787.785,328.731,10,32768,25.0,4096,4096,4096
2d_blocktile,32,128,16,4,4,256,6878.904,212.763,10,32768,50.0,4096,4096,4096
2d_blocktile,32,128,16,4,8,128,4428.026,61.926,10,32768,25.0,4096,4096,4096
2d_blocktile,32,128,16,8,4,128,5856.637,286.096,10,32768,25.0,4096,4096,4096
2d_blocktile,32,128,32,4,4,256,6977.940,181.471,10,32768,50.0,4096,4096,4096
2d_blocktile,32,128,32,4,8,128,5429.485,274.140,10,32768,25.0,4096,4096,4096
2d_blocktile,32,128,32,8,4,128,6708.669,337.354,10,32768,25.0,4096,4096,4096
2d_blocktile,64,32,8,4,4,128,5079.489,62.103,10,32768,25.0,4096,4096,4096
2d_blocktile,64,32,8,4,8,64,5185.765,57.033,10,32768,12.5,4096,4096,4096
2d_blocktile,64,32,8,8,4,64,6070.016,314.889,10,32768,12.5,4096,4096,4096
2d_blocktile,64,32,8,8,8,32,2994.312,80.597,10,32768,6.2,4096,4096,4096
2d_blocktile,64,32,16,4,4,128,5557.609,71.491,10,32768,25.0,4096,4096,4096
2d_blocktile,64,32,16,4,8,64,2893.030,20.063,10,32768,12.5,4096,4096,4096
2d_blocktile,64,32,16,8,4,64,3151.673,85.841,10,32768,12.5,4096,4096,4096
2d_blocktile,64,32,16,8,8,32,3147.280,89.815,10,32768,6.2,4096,4096,4096
2d_blocktile,64,32,32,4,4,128,5786.993,276.577,10,32768,25.0,4096,4096,4096
2d_blocktile,64,32,32,4,8,64,5665.816,83.292,10,32768,12.5,4096,4096,4096
2d_blocktile,64,32,32,8,4,64,6237.536,188.568,10,32768,12.5,4096,4096,4096
2d_blocktile,64,32,32,8,8,32,3085.350,16.457,10,32768,6.2,4096,4096,4096
2d_blocktile,64,64,8,4,4,256,6321.529,181.539,10,32768,50.0,4096,4096,4096
2d_blocktile,64,64,8,4,8,128,5022.038,37.419,10,32768,25.0,4096,4096,4096
2d_blocktile,64,64,8,8,4,128,7001.137,394.413,10,32768,25.0,4096,4096,4096
2d_blocktile,64,64,8,8,8,64,4413.648,63.076,10,32768,12.5,4096,4096,4096
2d_blocktile,64,64,16,4,4,256,7286.781,258.017,10,32768,50.0,4096,4096,4096
2d_blocktile,64,64,16,4,8,128,3606.954,40.640,10,32768,25.0,4096,4096,4096
2d_blocktile,64,64,16,8,4,128,4545.848,42.472,10,32768,25.0,4096,4096,4096
2d_blocktile,64,64,16,8,8,64,4655.464,223.420,10,32768,12.5,4096,4096,4096
2d_blocktile,64,64,32,4,4,256,7458.865,378.594,10,32768,50.0,4096,4096,4096
2d_blocktile,64,64,32,4,8,128,5370.263,79.383,10,32768,25.0,4096,4096,4096
2d_blocktile,64,64,32,8,4,128,7564.325,465.601,10,32768,25.0,4096,4096,4096
2d_blocktile,64,64,32,8,8,64,4697.403,248.777,10,32768,12.5,4096,4096,4096
2d_blocktile,64,128,8,4,4,512,6827.042,214.447,10,32768,100.0,4096,4096,4096
