kernel_id,kernel_name,M,N,K,gflops_median,gflops_stddev,gflops_p10,gflops_p90,ms_median,ms_stddev,eff_bw_gbs,correctness,max_abs_error,gpu_name,sm_count,compute_cap_major,compute_cap_minor,gpu_mem_gb
0,naive,4096,4096,4096,581.475,3.167,578.416,586.574,236.3628,1.2810,1.14,UNCHECKED,0.000000,NVIDIA GeForce GTX 1080 Ti,28,6,1,10.90
1,coalesced,4096,4096,4096,575.281,2.342,572.932,578.505,238.9074,0.9693,1.12,PASS,0.000003,NVIDIA GeForce GTX 1080 Ti,28,6,1,10.90
2,smem_tiling,4096,4096,4096,1676.434,24.226,1654.046,1684.652,81.9829,1.2646,3.27,PASS,0.000003,NVIDIA GeForce GTX 1080 Ti,28,6,1,10.90
3,1d_blocktile,4096,4096,4096,2886.682,107.638,2723.584,2888.080,47.6114,2.0302,5.64,PASS,0.000003,NVIDIA GeForce GTX 1080 Ti,28,6,1,10.90
4,2d_blocktile,4096,4096,4096,3925.540,235.928,3506.733,3933.824,35.0115,2.5022,7.67,PASS,0.000003,NVIDIA GeForce GTX 1080 Ti,28,6,1,10.90
5,vectorized,4096,4096,4096,4971.303,404.821,4071.732,5029.510,27.6465,2.7769,9.71,PASS,0.000003,NVIDIA GeForce GTX 1080 Ti,28,6,1,10.90
7,double_buffering,4096,4096,4096,4132.574,263.784,3625.777,4143.959,33.2575,2.5488,8.07,PASS,0.000003,NVIDIA GeForce GTX 1080 Ti,28,6,1,10.90
10,cublas_sgemm_fp32,4096,4096,4096,8728.473,1937.507,5081.098,9594.520,15.7460,7.8190,17.05,PASS,0.000000,NVIDIA GeForce GTX 1080 Ti,28,6,1,10.90
5,vectorized,256,256,256,39.575,0.137,39.432,39.767,0.8479,0.0029,1.24,PASS,0.000003,NVIDIA GeForce GTX 1080 Ti,28,6,1,10.90
7,double_buffering,256,256,256,32.316,0.109,32.157,32.444,1.0383,0.0035,1.01,PASS,0.000003,NVIDIA GeForce GTX 1080 Ti,28,6,1,10.90
10,cublas_sgemm_fp32,256,256,256,341.333,3.370,337.814,344.926,0.0983,0.0010,10.67,PASS,0.000000,NVIDIA GeForce GTX 1080 Ti,28,6,1,10.90
5,vectorized,512,512,512,166.758,0.364,166.335,167.184,1.6097,0.0035,2.61,PASS,0.000003,NVIDIA GeForce GTX 1080 Ti,28,6,1,10.90
7,double_buffering,512,512,512,133.408,0.221,133.136,133.679,2.0121,0.0033,2.08,PASS,0.000003,NVIDIA GeForce GTX 1080 Ti,28,6,1,10.90
10,cublas_sgemm_fp32,512,512,512,454.322,0.841,453.536,455.880,0.5908,0.0011,7.10,PASS,0.000000,NVIDIA GeForce GTX 1080 Ti,28,6,1,10.90
5,vectorized,1024,1024,1024,452.410,298.997,229.775,974.151,4.7468,3.1888,3.53,PASS,0.000003,NVIDIA GeForce GTX 1080 Ti,28,6,1,10.90
7,double_buffering,1024,1024,1024,395.951,264.032,200.491,875.674,5.4236,3.3540,3.09,PASS,0.000003,NVIDIA GeForce GTX 1080 Ti,28,6,1,10.90
10,cublas_sgemm_fp32,1024,1024,1024,757.368,7.449,753.260,771.920,2.8355,0.0274,5.92,PASS,0.000000,NVIDIA GeForce GTX 1080 Ti,28,6,1,10.90
5,vectorized,2048,2048,2048,3143.444,1054.281,744.016,3767.223,5.4656,7.8474,12.28,PASS,0.000003,NVIDIA GeForce GTX 1080 Ti,28,6,1,10.90
7,double_buffering,2048,2048,2048,2660.578,840.151,1257.530,3234.038,6.4584,8.3182,10.39,PASS,0.000003,NVIDIA GeForce GTX 1080 Ti,28,6,1,10.90
10,cublas_sgemm_fp32,2048,2048,2048,1589.504,1474.932,795.423,4210.693,10.8083,6.6750,6.21,PASS,0.000000,NVIDIA GeForce GTX 1080 Ti,28,6,1,10.90
5,vectorized,4096,4096,4096,5055.187,427.447,4208.113,5117.599,27.1877,2.8414,9.87,PASS,0.000003,NVIDIA GeForce GTX 1080 Ti,28,6,1,10.90
7,double_buffering,4096,4096,4096,4169.677,277.703,3563.499,4195.904,32.9615,2.6537,8.14,PASS,0.000003,NVIDIA GeForce GTX 1080 Ti,28,6,1,10.90
10,cublas_sgemm_fp32,4096,4096,4096,8775.833,1869.704,5263.365,9711.697,15.6611,7.3777,17.14,PASS,0.000000,NVIDIA GeForce GTX 1080 Ti,28,6,1,10.90
