kernel_id,kernel_name,M,N,K,gflops_median,gflops_stddev,gflops_p10,gflops_p90,ms_median,ms_stddev,eff_bw_gbs,correctness,max_abs_error,gpu_name,sm_count,compute_cap_major,compute_cap_minor,gpu_mem_gb
0,naive,4096,4096,4096,1545.260,6.963,1541.031,1558.823,88.9423,0.3977,3.02,UNCHECKED,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
1,coalesced,4096,4096,4096,1534.301,6.581,1523.747,1542.793,89.5776,0.3854,3.00,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
2,smem_tiling,4096,4096,4096,2115.528,11.200,2099.034,2130.552,64.9668,0.3444,4.13,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
3,1d_blocktile,4096,4096,4096,4356.688,22.067,4322.564,4389.698,31.5467,0.1599,8.51,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
4,2d_blocktile,4096,4096,4096,6557.125,41.604,6505.459,6602.146,20.9603,0.1333,12.81,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
5,vectorized,4096,4096,4096,6856.234,52.849,6790.248,6902.690,20.0458,0.1566,13.39,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
7,double_buffering,4096,4096,4096,5927.703,51.648,5854.721,5975.449,23.1859,0.2045,11.58,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
10,cublas_sgemm_fp32,4096,4096,4096,12939.806,129.744,12815.322,13165.147,10.6214,0.1059,25.27,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
8,tensor_core_wmma,4096,4096,4096,6779.508,312.394,6711.878,6795.843,20.2727,1.7049,13.24,PASS,0.001538,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
9,cublas_fp16_tc,4096,4096,4096,34233.212,5113.189,25259.134,34483.936,4.0148,0.8064,66.86,PASS,0.001538,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
5,vectorized,256,256,256,376.441,2.796,372.628,380.070,0.0891,0.0007,11.76,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
7,double_buffering,256,256,256,251.668,1.235,249.542,252.262,0.1333,0.0007,7.86,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
9,cublas_fp16_tc,256,256,256,1015.078,22.900,979.978,1024.000,0.0331,0.0008,31.72,PASS,0.001538,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
10,cublas_sgemm_fp32,256,256,256,1846.084,81.985,1820.444,1949.389,0.0182,0.0010,57.69,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
5,vectorized,512,512,512,1589.203,6.247,1580.341,1596.006,0.1689,0.0007,24.83,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
7,double_buffering,512,512,512,1022.378,3.913,1016.173,1024.513,0.2626,0.0010,15.97,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
9,cublas_fp16_tc,512,512,512,1657.828,17.053,1638.400,1668.843,0.1619,0.0017,25.90,PASS,0.001538,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
10,cublas_sgemm_fp32,512,512,512,5698.782,55.976,5610.359,5718.206,0.0471,0.0005,89.04,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
5,vectorized,1024,1024,1024,4222.808,13.548,4208.481,4237.767,0.5085,0.0016,32.99,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
7,double_buffering,1024,1024,1024,3485.541,15.799,3467.173,3508.061,0.6161,0.0028,27.23,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
9,cublas_fp16_tc,1024,1024,1024,5924.158,95.747,5843.687,5991.863,0.3625,0.0063,46.28,PASS,0.001538,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
10,cublas_sgemm_fp32,1024,1024,1024,9118.052,38.540,9077.352,9162.996,0.2355,0.0010,71.23,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
5,vectorized,2048,2048,2048,6777.647,1297.558,4829.609,6832.131,2.5348,0.6748,26.48,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
7,double_buffering,2048,2048,2048,6031.986,1011.213,4432.107,6141.086,2.8481,0.6413,23.56,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
9,cublas_fp16_tc,2048,2048,2048,17884.668,1180.949,17813.399,18135.448,0.9606,0.1815,69.86,PASS,0.001538,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
10,cublas_sgemm_fp32,2048,2048,2048,10539.797,211.997,10529.152,10875.868,1.6300,0.0318,41.17,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
5,vectorized,4096,4096,4096,6971.422,46.073,6923.013,7003.819,19.7146,0.1315,13.62,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
7,double_buffering,4096,4096,4096,5973.571,49.856,5914.002,6042.232,23.0078,0.1918,11.67,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
9,cublas_fp16_tc,4096,4096,4096,38451.609,6055.696,29159.581,38850.728,3.5743,0.7356,75.10,PASS,0.001538,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
10,cublas_sgemm_fp32,4096,4096,4096,13058.859,108.313,12947.880,13126.970,10.5246,0.0862,25.51,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
5,vectorized,8192,8192,8192,7137.242,34.014,7099.072,7187.836,154.0527,0.7337,6.97,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
7,double_buffering,8192,8192,8192,5947.819,21.414,5911.973,5963.241,184.8596,0.6690,5.81,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
9,cublas_fp16_tc,8192,8192,8192,46776.136,534.288,45902.785,47251.316,23.5058,0.2729,45.68,PASS,0.001538,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
10,cublas_sgemm_fp32,8192,8192,8192,13651.374,33.362,13640.306,13700.388,80.5422,0.1957,13.33,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
5,vectorized,8192,512,512,4629.714,23.417,4587.433,4651.568,0.9277,0.0047,55.38,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
7,double_buffering,8192,512,512,4226.065,16.931,4202.709,4245.838,1.0163,0.0041,50.56,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
9,cublas_fp16_tc,8192,512,512,13997.782,162.346,13845.158,14249.074,0.3068,0.0035,167.45,PASS,0.001538,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
10,cublas_sgemm_fp32,8192,512,512,9990.527,14.291,9982.576,10015.501,0.4299,0.0006,119.52,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
5,vectorized,512,8192,512,4638.274,11.891,4620.295,4649.698,0.9260,0.0024,55.49,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
7,double_buffering,512,8192,512,4249.884,18.868,4219.980,4271.185,1.0106,0.0045,50.84,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
9,cublas_fp16_tc,512,8192,512,14081.491,137.759,13970.973,14250.436,0.3050,0.0030,168.46,PASS,0.001538,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
10,cublas_sgemm_fp32,512,8192,512,9973.823,22.924,9939.109,9987.924,0.4306,0.0010,119.32,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
5,vectorized,512,512,8192,1550.297,306.870,1549.082,2056.135,2.7704,0.4138,12.87,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
7,double_buffering,512,512,8192,1388.756,222.007,1031.936,1394.416,3.0927,0.6647,11.53,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
9,cublas_fp16_tc,512,512,8192,6316.723,22.979,6280.749,6330.726,0.6799,0.0025,52.43,PASS,0.001538,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
10,cublas_sgemm_fp32,512,512,8192,9660.817,16.637,9635.156,9670.074,0.4446,0.0008,80.19,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
5,vectorized,2048,512,4096,4410.668,607.195,4380.010,4769.864,1.9475,0.1890,25.84,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
7,double_buffering,2048,512,4096,3665.974,799.202,3503.981,5134.416,2.3432,0.3683,21.48,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
9,cublas_fp16_tc,2048,512,4096,7917.750,499.530,7877.368,7944.251,1.0849,0.1802,46.39,PASS,0.001538,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
10,cublas_sgemm_fp32,2048,512,4096,9770.349,13.541,9754.196,9778.393,0.8792,0.0012,57.25,PASS,0.000000,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
5,vectorized,1024,4096,2048,6728.380,1230.153,4831.865,6784.379,2.5533,0.6441,29.57,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
7,double_buffering,1024,4096,2048,6009.301,971.517,4438.340,6103.085,2.8589,0.6196,26.41,PASS,0.000003,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
9,cublas_fp16_tc,1024,4096,2048,18684.169,1250.837,18598.351,18982.509,0.9195,0.1781,82.11,PASS,0.001538,NVIDIA GeForce RTX 2080 Ti,68,7,5,10.57
